bag,bagName,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166
1,1,0.180723,-0.8816,-0.430175,-1.203764,-0.163793,0.225595,0.371883,-1.263585,0.654563,0.677236,-1.534785,-1.710783,0.084923,-2.058397,-2.364729,-0.546515,-0.135521,-0.054096,-1.878006,-1.960386,0.092738,0.520618,0.080201,0.65679,1.367973,1.024825,-0.026362,-0.445101,0.385498,0.87716,-0.363541,-1.077574,-0.608257,1.231095,-1.098034,-1.295576,-0.575811,1.287248,-0.930449,0.963001,-0.956788,-1.211616,0.59095,-2.029153,-2.153669,-1.135443,-0.677899,1.16505,-1.620271,-0.439803,-0.775862,0.455896,0.536602,-0.933114,1.286257,1.098481,0.30654,-0.776638,0.390232,1.259429,-0.935393,-1.01499,0.541329,0.442967,-1.304416,-0.272134,-0.145623,1.012861,-1.032389,0.701018,-0.765109,-0.996032,-0.75348,-1.872853,-1.99886,-0.348557,0.394514,-1.573854,-1.891286,-2.302468,0.622885,0.529189,-0.720551,-0.920588,0.839709,0.512816,-1.224699,0.873601,-0.206011,0.822003,-0.621737,-1.285252,-1.197082,1.020556,0.538913,-0.838294,-1.220289,0.718898,-0.751259,0.708279,-1.061281,-1.073455,-2.155097,-2.219423,-2.305897,-0.838296,0.292974,1.247735,-2.313196,-2.28323,-2.381984,-0.107937,0.283525,0.276932,0.753925,1.436607,0.821689,0.579294,0.116566,-0.834043,1.068653,1.511101,1.196562,-1.488141,-0.871672,-1.148402,1.531215,1.006533,1.456368,-1.226776,0.020053,-1.006971,0.239869,-1.017039,-1.413046,0.428441,0.659225,-0.9857,0.689362,0.265955,-0.579038,1.308667,0.944147,1.046507,-0.154676,-0.295417,-0.290322,-0.003124,-0.781483,0.514062,-0.753947,-1.195802,-1.219254,-1.185767,-0.894557,-1.231182,-0.258181,1.455964,-0.170265,-1.444906,-0.863858,-1.0098,-0.786805,-0.179275,0.555801,-0.068543
1,1,0.180723,-0.802337,-0.907243,-1.071341,-0.163793,0.703723,0.615875,-2.345572,0.47807,1.118812,-2.57167,-0.541457,-0.533722,-1.998322,-1.971384,-0.593483,0.823675,-1.26207,-0.763257,0.019645,0.542391,0.406376,0.625412,1.338537,0.962787,0.398559,0.709876,0.541643,-1.129727,1.173706,-0.363541,-1.066927,-0.592258,1.168143,-1.098034,-1.320038,-0.436033,0.403963,-0.930449,0.554929,-0.862569,-1.211616,0.575387,-2.490396,-1.575186,-2.091073,0.022316,0.293801,-1.21649,1.082223,0.087434,0.466893,0.4835,-2.007778,0.80793,-0.422674,0.755394,-0.298398,-0.091104,0.976163,-0.935393,-1.01499,0.541329,1.300151,-1.132865,-0.272134,-0.145623,-0.67541,-1.032389,-0.344209,-0.855157,-0.996032,-2.640292,-1.237758,-0.31737,-0.348557,0.675792,-2.47669,-0.599659,-2.362758,0.61144,0.48692,0.362445,0.648588,1.062695,0.550725,-0.190148,-0.943982,-1.30895,1.205367,-0.621737,-1.285252,-1.197082,-2.457965,0.538913,-0.848368,0.138311,0.650064,-0.951811,0.698641,-0.897095,-1.073455,-1.771539,-2.452218,-2.057738,-2.122549,-0.460221,-0.146947,-1.508122,-1.62587,-1.943854,0.611893,0.610126,0.578365,1.080874,0.373643,1.203613,0.682843,0.758992,0.72984,1.088197,0.611398,1.01705,-1.488141,-0.861415,-1.119426,0.751564,1.200024,-0.189367,-1.226776,0.020053,-1.006971,0.087713,-0.567073,-1.705071,-0.692096,0.720274,-0.40182,0.597037,0.296548,0.35572,0.352328,0.585493,0.509675,-0.154676,-0.295417,-0.361962,-0.360063,-0.323023,0.653489,-0.753947,-1.239277,-1.219254,-1.185767,-0.894557,-1.231182,-0.258181,-1.089633,1.381528,-1.444906,-0.875311,-0.989504,-0.786805,-0.179275,0.538563,-0.068543
1,1,0.180723,-0.802337,-0.907243,-1.203764,-0.163793,0.225595,0.615875,-2.226817,0.47807,0.663437,-2.047653,-0.541457,0.069834,-1.914217,-2.338506,-0.593483,0.815034,-1.26207,-0.751007,-1.945933,0.542391,0.406376,0.625412,0.648268,1.367973,0.398559,0.720704,0.541643,0.385498,0.87716,-0.363541,-1.066927,-0.608257,1.240088,-1.098034,-1.295576,-0.575811,0.416231,-0.930449,0.554929,-0.850791,-1.211616,0.575387,-2.152901,-1.726095,-2.001131,0.007418,0.293801,-1.203031,-0.439803,0.087434,0.466893,0.4835,-1.766281,1.297646,-0.406662,0.755394,-0.298398,0.390232,1.259429,-0.935393,-1.01499,0.541329,0.442967,-1.304416,-0.226714,-0.145623,-0.67541,-1.032389,-0.344209,-0.855157,-0.996032,-0.778471,-1.237758,-2.012873,-0.348557,0.675792,-2.347713,-0.599659,-2.169831,0.61144,0.48692,0.362445,-0.910332,0.829574,0.550725,-0.190148,-0.943982,-0.206011,0.814179,-0.621737,-1.285252,-1.197082,1.020556,0.538913,-0.838294,-1.220289,0.650064,-0.951811,0.708279,-0.897095,-1.073455,-2.116741,-2.114666,-2.144594,-2.122549,-0.476595,-0.146947,-2.313196,-1.840518,-2.231377,0.611893,0.59992,0.578365,0.764142,1.436607,0.821689,0.692257,0.758992,0.72984,1.058881,1.499712,1.196562,-1.488141,-0.861415,-1.119426,1.531215,1.006533,1.456368,-1.226776,0.020053,-1.006971,0.087713,-0.567073,-1.666981,-0.692096,0.730448,-0.414795,0.597037,0.296548,0.35572,0.352328,0.585493,0.509675,-0.154676,-0.295417,-0.290322,-0.360063,-0.323023,0.665108,-0.753947,-1.195802,-1.219254,-1.185767,-0.894557,-1.231182,-0.258181,1.467129,-0.153844,-1.444906,-0.863858,-1.0098,-0.786805,-0.179275,0.538563,-0.050089
1,1,0.180723,-0.8816,-0.444632,-1.071341,-0.163793,0.703723,0.371883,-1.355949,0.654563,1.118812,-2.304087,-1.710783,-0.533722,-1.986307,-2.325395,-0.562171,-0.12688,-0.038805,-1.878006,0.034098,0.092738,0.509194,0.080201,1.338537,0.97345,1.024825,-0.03719,-0.460764,-1.129727,1.173706,-0.363541,-1.066927,-0.592258,1.177136,-1.098034,-1.320038,-0.436033,1.287248,-0.930449,0.950636,-0.956788,-1.224545,0.575387,-2.074152,-2.153669,-2.046102,-0.677899,1.16505,-1.606812,1.082223,-0.788747,0.455896,0.536602,-1.995703,0.80793,1.098481,0.30654,-0.776638,-0.106145,0.965269,-0.935393,-1.01499,0.541329,1.300151,-1.132865,-0.272134,-0.145623,1.012861,-1.032389,0.701018,-0.765109,-0.996032,-2.215447,-1.872853,-0.31737,-0.348557,0.394514,-1.784907,-1.891286,-2.157773,0.622885,0.529189,-0.720551,0.658844,1.052559,0.503338,-1.224699,0.85906,-1.292239,1.205367,-0.621737,-1.285252,-1.197082,-2.457965,0.538913,-0.848368,0.128096,0.718898,-0.751259,0.698641,-1.061281,-1.073455,-1.771539,-2.137945,-2.256265,-1.087665,0.309348,1.261017,-1.780808,-2.28323,-2.381984,-0.119184,0.283525,0.276932,1.080874,0.389048,1.211916,0.56988,0.116566,-0.834043,1.097969,0.600009,1.01705,-1.488141,-0.861415,-1.119426,0.738783,1.208086,-0.203314,-1.226776,0.020053,-1.006971,0.239869,-1.017039,-1.413046,0.428441,0.659225,-0.9857,0.700903,0.265955,-0.579038,1.295744,0.944147,1.035771,-0.154676,-0.295417,-0.290322,-0.003124,-0.781483,0.514062,-0.753947,-1.239277,-1.219254,-1.185767,-0.894557,-1.231182,-0.258181,-1.089633,1.381528,-1.444906,-0.875311,-1.0098,-0.786805,-0.179275,0.555801,-0.068543
1,2,0.180723,-0.8816,-0.328979,-1.203764,-0.163793,0.214729,0.381267,-1.25039,0.654563,0.663437,-1.545935,-1.710783,0.069834,-2.058397,-2.351618,-0.530859,-0.135521,-0.038805,-1.865756,-1.931481,0.092738,0.520618,0.080201,0.639746,1.378635,1.024825,-0.026362,-0.460764,0.385498,0.87716,-0.363541,0.721828,-0.30428,1.240088,-1.047787,-0.317085,-0.575811,1.287248,-0.72225,0.963001,-0.956788,1.206021,0.575387,-2.040403,-2.153669,-1.135443,-0.677899,1.16505,-1.593353,-0.439803,-0.788747,0.455896,0.536602,-0.933114,1.297646,1.098481,0.315517,-0.776638,0.37519,1.259429,-0.935393,-0.662831,0.469574,0.442967,-1.304416,0.182058,-0.145623,0.995634,-0.92981,0.701018,-0.687925,-0.459759,-0.778471,-1.872853,-2.012873,-0.348557,0.394514,-1.573854,-1.879437,-2.29041,0.622885,0.529189,-0.720551,-0.920588,0.829574,0.503338,-1.224699,0.85906,-0.206011,0.814179,-0.621737,0.545135,-1.185195,1.020556,0.600252,-0.687193,-1.230504,0.718898,-0.519853,0.708279,-1.061281,1.211415,-2.155097,-2.219423,-2.305897,-0.825827,0.309348,1.261017,-2.313196,-2.269815,-2.368292,-0.107937,0.283525,0.276932,0.764142,1.436607,0.821689,0.56988,0.116566,-0.834043,1.068653,1.499712,1.196562,-1.446677,-0.604997,-1.00352,1.543996,1.006533,1.470314,-1.226776,0.095807,-1.006971,0.239869,-1.017039,-1.413046,0.412433,0.659225,-0.998675,0.700903,0.265955,-0.565872,1.295744,0.954394,1.046507,-0.114399,-0.295417,-0.290322,-0.003124,-0.781483,0.514062,-0.597175,-1.195802,-1.219254,-0.514931,1.029011,-0.446199,-0.258181,1.467129,-0.153844,1.162267,1.037285,1.304016,-0.892095,0.257699,0.693711,-0.142359
1,2,0.180723,-0.802337,-0.907243,-1.071341,-0.163793,0.703723,0.615875,-2.345572,0.47807,1.132611,-2.560521,-0.529403,-0.518633,-1.986307,-1.971384,-0.577827,0.823675,-1.246779,-0.751007,0.019645,0.555238,0.406376,0.625412,1.330015,0.97345,0.398559,0.699049,0.541643,-1.146945,1.165234,-0.363541,0.732475,-0.30428,1.177136,-1.060349,-0.341547,-0.436033,0.403963,-0.847169,0.542563,-0.756573,1.21895,0.59095,-2.479146,-1.562611,-2.07983,0.022316,0.307854,-1.21649,1.082223,0.100319,0.466893,0.472879,-2.007778,0.819319,-0.422674,0.755394,-0.310983,-0.091104,0.976163,-0.935393,-0.653801,0.469574,1.300151,-1.132865,0.136639,-0.145623,-0.692637,-0.858004,-0.360289,-0.868021,-0.704912,-2.627797,-1.225545,-0.31737,-0.264974,0.675792,-2.464965,-0.587809,-2.374816,0.61144,0.48692,0.375038,0.648588,1.062695,0.550725,-0.190148,-0.943982,-1.30895,1.205367,-0.621737,0.545135,-1.185195,-2.444688,0.600252,-0.717413,0.148526,0.650064,-0.967238,0.698641,-0.667233,1.190258,-1.771539,-2.440578,-2.04533,-2.110081,-0.443848,-0.133664,-1.521107,-1.612455,-1.943854,0.623141,0.610126,0.56797,1.080874,0.373643,1.211916,0.682843,0.750539,0.719273,1.088197,0.600009,1.01705,-1.446677,-0.59474,-0.974544,0.764345,1.208086,-0.17542,-1.226776,0.05793,-1.006971,0.102929,-0.553839,-1.679677,-0.708104,0.720274,-0.375869,0.585496,0.296548,0.368886,0.339405,0.575246,0.509675,-0.114399,-0.295417,-0.361962,-0.389808,-0.336507,0.64187,-0.611427,-1.253768,-1.219254,-0.500955,1.029011,-0.19161,-0.258181,-1.067303,1.389738,1.162267,1.025832,1.28372,-0.913154,0.195274,0.693711,-0.142359
1,2,0.180723,-0.791014,-0.907243,-1.203764,-0.163793,0.236462,0.615875,-2.226817,0.47807,0.649637,-2.036504,-0.529403,0.054745,-1.914217,-2.338506,-0.577827,0.823675,-1.246779,-0.751007,-1.931481,0.542391,0.406376,0.614722,0.631225,1.367973,0.398559,0.709876,0.525981,0.402717,0.885633,-0.363541,0.785712,-0.352276,1.249081,-1.047787,-0.366009,-0.575811,0.403963,-0.861049,0.554929,-0.733018,1.231878,0.575387,-2.141651,-1.700943,-1.989888,0.022316,0.293801,-1.203031,-0.454873,0.100319,0.466893,0.472879,-1.778356,1.297646,-0.422674,0.755394,-0.310983,0.405274,1.259429,-0.935393,-0.563504,0.433696,0.450486,-1.304416,0.136639,-0.145623,-0.692637,-0.899036,-0.360289,-0.868021,-0.68959,-0.790967,-1.225545,-2.026885,-0.348557,0.675792,-2.335988,-0.587809,-2.157773,0.61144,0.48692,0.375038,-0.920588,0.829574,0.560203,-0.190148,-0.943982,-0.1893,0.822003,-0.621737,0.609737,-1.185195,1.033833,0.600252,-0.787927,-1.220289,0.650064,-0.967238,0.698641,-0.634396,1.232571,-2.129527,-2.114666,-2.132186,-2.110081,-0.443848,-0.133664,-2.300211,-1.827103,-2.231377,0.611893,0.59992,0.56797,0.764142,1.436607,0.821689,0.682843,0.758992,0.719273,1.058881,1.511101,1.196562,-1.460498,-0.481916,-1.00352,1.543996,1.014595,1.470314,-1.226776,0.114746,-1.006971,0.102929,-0.553839,-1.654284,-0.708104,0.720274,-0.388845,0.585496,0.296548,0.368886,0.352328,0.585493,0.509675,-0.114399,-0.295417,-0.361962,-0.374936,-0.323023,0.653489,-0.611427,-1.195802,-1.219254,-0.4171,1.067227,0.084194,-0.258181,1.478293,-0.137423,1.162267,0.991474,1.28372,-0.871037,0.257699,0.693711,-0.086997
1,2,0.180723,-0.892923,-0.328979,-1.071341,-0.163793,0.703723,0.371883,-1.342754,0.644181,1.132611,-2.281788,-1.710783,-0.518633,-1.986307,-2.312283,-0.546515,-0.12688,-0.038805,-1.865756,0.019645,0.092738,0.520618,0.080201,1.330015,0.97345,1.024825,-0.03719,-0.460764,-1.146945,1.173706,-0.363541,0.732475,-0.288281,1.177136,-1.047787,-0.317085,-0.436033,1.27498,-0.72225,0.950636,-0.956788,1.206021,0.59095,-2.062902,-2.141093,-2.046102,-0.677899,1.16505,-1.579893,1.082223,-0.788747,0.455896,0.536602,-1.995703,0.819319,1.098481,0.30654,-0.776638,-0.091104,0.976163,-0.935393,-0.662831,0.469574,1.30767,-1.132865,0.136639,-0.145623,0.995634,-0.940068,0.684938,-0.687925,-0.459759,-2.190456,-1.86064,-0.31737,-0.264974,0.394514,-1.773181,-1.879437,-2.157773,0.622885,0.529189,-0.720551,0.648588,1.062695,0.503338,-1.224699,0.85906,-1.30895,1.205367,-0.621737,0.566669,-1.173308,-2.444688,0.600252,-0.717413,0.148526,0.718898,-0.519853,0.698641,-1.072227,1.211415,-1.771539,-2.126306,-2.256265,-1.062728,0.342096,1.261017,-1.793793,-2.269815,-2.368292,-0.107937,0.283525,0.276932,1.080874,0.358238,1.211916,0.560466,0.108113,-0.844609,1.088197,0.611398,1.01705,-1.432856,-0.59474,-0.974544,0.764345,1.208086,-0.17542,-1.226776,0.05793,-1.006971,0.239869,-1.017039,-1.400349,0.412433,0.659225,-0.998675,0.700903,0.281252,-0.565872,1.295744,0.944147,1.046507,-0.114399,-0.295417,-0.361962,-0.017997,-0.794967,0.502444,-0.597175,-1.253768,-1.219254,-0.514931,1.029011,-0.424983,-0.258181,-1.067303,1.389738,1.162267,1.025832,1.304016,-0.913154,0.257699,0.693711,-0.160813
1,3,0.070152,-0.598517,-0.907243,-0.038447,-0.128956,0.029997,0.625259,-2.358767,0.488452,-0.371507,-2.527073,-0.565567,-2.570721,-2.058397,-2.299172,-0.577827,0.840958,-1.292652,-0.787757,-1.7725,0.555238,0.429224,0.636102,0.034696,0.664229,0.387375,0.731531,0.447668,0.351061,1.088979,-0.363541,1.158369,-0.272282,1.509882,-0.206158,-0.390471,-0.497186,0.428498,-0.944329,0.604393,-0.591689,1.309449,-1.992425,-2.467896,-1.726095,-2.057345,0.037214,0.321906,-1.256868,-0.620638,0.087434,0.477889,0.504741,-1.947404,0.978761,-0.422674,0.773348,-0.310983,0.134522,0.997953,-0.68371,0.9264,-0.247977,0.984346,0.374327,0.227478,-0.145623,-0.623728,-1.032389,-0.279887,-0.829429,-0.628302,-2.56532,-1.286612,-2.601394,-0.348557,0.675792,-2.45324,-0.623359,-2.338642,0.63433,0.508055,0.375038,0.833196,0.809302,0.550725,-0.114449,-0.987604,0.027946,0.775061,-0.563571,1.018883,0.372023,0.064627,0.538913,-0.767781,0.220031,0.650064,-0.967238,0.727553,-0.393588,1.317196,-2.52587,-2.440578,-2.219041,-2.097612,-0.443848,-0.146947,-2.287226,-1.840518,-2.217685,0.634388,0.630539,0.609547,1.050223,1.359581,0.589213,0.664016,0.758992,0.72984,0.863446,1.340271,0.790298,-1.101145,0.718123,-1.119426,1.071093,1.272584,0.772969,0.311498,0.47458,-0.892266,0.087713,-0.593542,-1.755858,-0.692096,0.740623,-0.388845,0.620118,0.296548,0.35572,0.391099,0.616235,0.520412,-0.114399,-0.263276,-0.433602,-0.315446,-0.255603,0.688346,-0.169616,0.035985,0.057528,0.169882,1.309266,0.858569,-0.226446,1.690427,1.053106,0.964061,0.579178,1.080753,-0.407758,0.382549,0.676472,0.448166
1,3,0.291294,-0.439991,0.234829,-1.190521,-0.163793,0.290794,0.202965,-1.606654,0.623417,0.59444,-2.147997,-2.084485,-0.0207,-2.394816,-2.272949,-0.483891,0.598999,-1.781957,-1.706506,-1.873669,-0.703791,0.406376,0.379532,0.546006,1.35731,0.980092,0.504163,-0.758353,0.471591,0.911051,-0.363541,-0.928511,-0.016301,1.321026,-1.324143,1.199577,-0.575811,1.041891,0.402021,0.690953,0.550716,0.068309,0.497575,-2.434147,-2.304577,-1.472724,-0.156462,0.46243,-1.633731,-0.515151,-1.536078,0.433904,0.759632,-1.488559,1.309034,0.842287,-0.061519,-0.462006,0.465441,1.270324,-0.925326,-0.626712,0.756594,0.510639,-1.316669,0.63625,-0.145623,0.978407,0.783268,0.572375,0.354057,0.551498,-0.953408,-2.385815,-2.082935,-0.097807,0.702162,-2.312538,-1.867587,-2.3507,0.073527,0.338977,-0.619807,-0.961613,0.839709,0.560203,0.327127,-0.144246,-0.122455,0.837651,-0.621737,-0.423894,-1.090098,1.073663,-0.534531,1.317417,-1.199859,0.305892,0.313208,0.081856,0.536803,0.407479,-2.155097,-2.300902,-2.330713,-1.46172,0.767815,0.968799,-2.27424,-2.242984,-2.368292,-0.119184,0.222287,0.547182,0.825445,1.436607,0.813386,0.268644,0.048942,0.603039,1.068653,1.533878,1.224907,0.55741,-0.861415,0.590181,1.556777,1.062968,1.498208,-1.2371,-1.873812,-0.892266,-1.327335,-2.314,-2.314514,0.428441,0.242058,0.272886,0.874013,0.373031,-0.249898,1.153585,0.226839,0.198312,-0.114399,-0.295417,-0.505242,0.219962,0.202856,0.339779,-0.92497,-1.210293,-1.219254,0.491324,-0.397741,0.084194,-0.210578,1.589942,-0.022476,0.201729,1.323601,1.10105,-0.849979,-0.179275,0.297222,-1.083508
